Entity,Code,Gini coefficient 1990,Gini coefficient 1991,Gini coefficient 1992,Gini coefficient 1993,Gini coefficient 1994,Gini coefficient 1995,Gini coefficient 1996,Gini coefficient 1997,Gini coefficient 1998,Gini coefficient 1999,Gini coefficient 2000,Gini coefficient 2001,Gini coefficient 2002,Gini coefficient 2003,Gini coefficient 2004,Gini coefficient 2005,Gini coefficient 2006,Gini coefficient 2007,Gini coefficient 2008,Gini coefficient 2009,Gini coefficient 2010,Gini coefficient 2011,Gini coefficient 2012,Gini coefficient 2013,Gini coefficient 2014,Gini coefficient 2015,Gini coefficient 2016,Gini coefficient 2017,Gini coefficient 2018,Gini coefficient 2019,Gini coefficient 2020,Gini coefficient 2021,Gini coefficient 2022,Gini coefficient 2023
Sweden,SWE,0.24908733,0.24908733,0.24908733,0.24908733,0.24908733,0.25236505,0.25236505,0.25236505,0.25236505,0.25236505,0.2696006,0.2654536,0.26216906,0.25268546,0.2614015,0.26821113,0.26351255,0.27114177,0.2811921,0.27339876,0.27736187,0.27605262,0.27643898,0.28822792,0.28388658,0.29209688,0.29561213,0.28774142,0.29971606,0.2930465,0.28870627,0.29765385,0.29765385,0.29765385
Switzerland,CHE,0.33854857,0.33854857,0.33854857,0.33854857,0.33854857,0.33854857,0.33854857,0.33854857,0.33854857,0.33854857,0.33431056,0.33431056,0.31686732,0.31686732,0.31564513,0.31564513,0.33918807,0.34255534,0.337947,0.32855856,0.3255303,0.3171362,0.31567127,0.3246219,0.3252566,0.32306957,0.33042452,0.32676333,0.3314104,0.3399834,0.33737928,0.33737928,0.33737928,0.33737928
Syria,SYR,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.3516938,0.37514603,0.37514603,0.37514603,0.4014725,0.4014725,0.4014725,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.40394777,0.26628006,0.26628006
Taiwan,TWN,0.29967803,0.29967803,0.29967803,0.29967803,0.29967803,0.3132387,0.3132387,0.30822107,0.30822107,0.30822107,0.31111476,0.31111476,0.31111476,0.31111476,0.31111476,0.32179585,0.32179585,0.32124567,0.32124567,0.32124567,0.33213326,0.33213326,0.33213326,0.32487386,0.32487386,0.32487386,0.31448635,0.31754693,0.31633675,0.3119192,0.31231022,0.31566375,0.31566375,0.31566375
Tajikistan,TJK,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.2953486,0.3271972,0.3360195,0.3360195,0.3360195,0.32182014,0.32182014,0.30774954,0.30774954,0.30774954,0.30774954,0.30774954,0.30774954,0.3399559,0.3399559,0.3399559,0.3399559,0.3399559,0.3399559,0.3399559,0.3399559,0.3399559
Tanzania,TZA,0.35275686,0.35275686,0.35275686,0.35275686,0.35275686,0.35275686,0.35275686,0.35275686,0.35275686,0.35275686,0.37266687,0.37266687,0.37266687,0.37266687,0.37266687,0.37266687,0.37266687,0.40277025,0.40277025,0.40277025,0.40277025,0.3778315,0.3778315,0.3778315,0.3778315,0.3778315,0.3778315,0.3778315,0.4049123,0.4049123,0.4049123,0.4049123,0.4049123,0.4049123
Thailand,THA,0.45265648,0.45265648,0.47857958,0.47857958,0.43470213,0.43470213,0.42904922,0.42904922,0.41455793,0.43091586,0.42833668,0.42833668,0.41944495,0.41944495,0.42540312,0.42540312,0.41819033,0.39761516,0.40288273,0.39601263,0.3940277,0.37459034,0.39256668,0.37847108,0.37032664,0.35987332,0.3689063,0.36382803,0.36412174,0.34855723,0.34985816,0.34923872,0.34923872,0.34923872
Togo,TGO,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.42211255,0.4601219,0.4601219,0.4601219,0.4601219,0.43023092,0.43023092,0.43023092,0.42534238,0.42534238,0.42534238,0.37858006,0.37858006,0.37858006
Tonga,TON,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.37690175,0.3749649,0.3749649,0.3749649,0.3749649,0.3749649,0.3749649,0.33521304,0.33521304,0.33521304,0.33521304,0.33521304,0.33521304,0.27095765,0.27095765,0.27095765
Trinidad and Tobago,TTO,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452,0.40185452
Tunisia,TUN,0.40102237,0.40102237,0.40102237,0.40102237,0.40102237,0.41657296,0.41657296,0.41657296,0.41657296,0.41657296,0.40809476,0.40809476,0.40809476,0.40809476,0.40809476,0.37733382,0.37733382,0.37733382,0.37733382,0.37733382,0.35808256,0.35808256,0.35808256,0.35808256,0.35808256,0.32815883,0.32815883,0.32815883,0.32815883,0.32815883,0.32815883,0.33716425,0.33716425,0.33716425
Turkey,TUR,0.413152,0.413152,0.413152,0.413152,0.413152,0.413152,0.413152,0.413152,0.413152,0.413152,0.413152,0.413152,0.41396376,0.42184338,0.4128751,0.42614657,0.39647412,0.384428,0.3902054,0.3896531,0.3878508,0.40039355,0.40168938,0.401785,0.41236562,0.42854458,0.41873705,0.4353174,0.42441463,0.4383382,0.43045047,0.44364843,0.44364843,0.44364843
Turkmenistan,TKM,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928,0.40806928
Tuvalu,TUV,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032,0.39139032
Uganda,UGA,0.41423506,0.41423506,0.41423506,0.41423506,0.41423506,0.41423506,0.39042878,0.39042878,0.39042878,0.42997676,0.42997676,0.42997676,0.4516984,0.4516984,0.4516984,0.4294434,0.4294434,0.4294434,0.4294434,0.44190434,0.44190434,0.44190434,0.41009575,0.41009575,0.41009575,0.41009575,0.42753503,0.42753503,0.42753503,0.42702642,0.42702642,0.42702642,0.42702642,0.42702642
Ukraine,UKR,0.2970884,0.2970884,0.2970884,0.28926983,0.28926983,0.39231017,0.35153562,0.35153562,0.35153562,0.35153562,0.35153562,0.35153562,0.29045695,0.28664893,0.28934017,0.29020715,0.29794392,0.27012688,0.2663823,0.25316665,0.24818976,0.24551843,0.24740657,0.24554986,0.24025366,0.2545754,0.25002202,0.26049048,0.26071486,0.26619467,0.25627363,0.25627363,0.25627363,0.25627363
United Arab Emirates,ARE,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.3251042,0.26399004,0.26399004,0.26399004,0.26399004,0.26399004,0.26399004
United Kingdom,GBR,0.3574197,0.34962818,0.34955472,0.3507596,0.35978922,0.3551664,0.3529524,0.35735163,0.36621472,0.3678378,0.38848642,0.37086216,0.35146394,0.34856063,0.34834158,0.35485032,0.35879987,0.34413147,0.35445124,0.35137364,0.337056,0.33191085,0.33090645,0.32699567,0.3314094,0.33311963,0.33109283,0.3260817,0.33689743,0.32824126,0.32644516,0.32414576,0.32414576,0.32414576
United States,USA,0.38262504,0.38044858,0.38372815,0.4036311,0.39985397,0.39853615,0.40308332,0.40524158,0.39951783,0.39984423,0.40138903,0.40594307,0.40352058,0.40770072,0.40250537,0.40962887,0.413959,0.40795898,0.40809166,0.40608335,0.40007547,0.40934193,0.4093412,0.40649238,0.41508022,0.41235605,0.41118968,0.41177237,0.4140517,0.41533518,0.39682114,0.39696464,0.41334125,0.41334125
Uruguay,URY,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.4594136,0.46404734,0.4508151,0.45541507,0.44474792,0.42175132,0.39900422,0.40450785,0.40110928,0.40128586,0.3969534,0.39464375,0.39687112,0.3967629,0.40155584,0.40776816,0.40551677,0.40551677
Uruguay (urban),,0.41468027,0.41468027,0.41468027,0.41468027,0.41468027,0.4092631,0.40751207,0.41456702,0.4248223,0.4248223,0.42907074,0.45007667,0.45544198,0.4503368,0.45880932,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546,0.44727546
Uzbekistan,UZB,0.44268507,0.44268507,0.44268507,0.44268507,0.44268507,0.44268507,0.44268507,0.44268507,0.44268507,0.44268507,0.36011636,0.36011636,0.33036503,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.3526095,0.31184828,0.31184828
Vanuatu,VUT,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.37351298,0.32317576,0.32317576,0.32317576,0.32317576,0.32317576
Venezuela,VEN,0.42061847,0.42061847,0.42061847,0.42061847,0.42061847,0.4716726,0.4716726,0.4716726,0.47999668,0.47699356,0.47699356,0.4717132,0.48879746,0.47908917,0.4731904,0.49318564,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317,0.44699317
Vietnam,VNM,0.35654002,0.35654002,0.35654002,0.35654002,0.35654002,0.35654002,0.35654002,0.35442206,0.35442206,0.35442206,0.35442206,0.35442206,0.37029624,0.37029624,0.36785832,0.36785832,0.35788617,0.35788617,0.35570312,0.35570312,0.39252725,0.39252725,0.35645887,0.35645887,0.34755376,0.34755376,0.3526674,0.3526674,0.35715547,0.35715547,0.36790165,0.36790165,0.36093006,0.36093006
Yemen,YEM,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34997785,0.34732336,0.34732336,0.34732336,0.34732336,0.34732336,0.34732336,0.34732336,0.34732336,0.34732336,0.36707094,0.36707094,0.36707094,0.36707094,0.36707094,0.36707094,0.36707094,0.36707094,0.36707094,0.36707094
Zambia,ZMB,0.5940293,0.5940293,0.5940293,0.5255011,0.5255011,0.5255011,0.48328376,0.48328376,0.4912212,0.4912212,0.4912212,0.4912212,0.4205863,0.4205863,0.54263926,0.54263926,0.54569334,0.54569334,0.54569334,0.54569334,0.52011114,0.52011114,0.52011114,0.52011114,0.52011114,0.5583758,0.5583758,0.5583758,0.5583758,0.5583758,0.5583758,0.5583758,0.51483124,0.51483124
Zimbabwe,ZWE,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.43153575,0.44337082,0.44337082,0.5025645,0.5025645,0.5025645,0.5025645,0.5025645
