Entity,Code,Gini coefficient 1990,Gini coefficient 1991,Gini coefficient 1992,Gini coefficient 1993,Gini coefficient 1994,Gini coefficient 1995,Gini coefficient 1996,Gini coefficient 1997,Gini coefficient 1998,Gini coefficient 1999,Gini coefficient 2000,Gini coefficient 2001,Gini coefficient 2002,Gini coefficient 2003,Gini coefficient 2004,Gini coefficient 2005,Gini coefficient 2006,Gini coefficient 2007,Gini coefficient 2008,Gini coefficient 2009,Gini coefficient 2010,Gini coefficient 2011,Gini coefficient 2012,Gini coefficient 2013,Gini coefficient 2014,Gini coefficient 2015,Gini coefficient 2016,Gini coefficient 2017,Gini coefficient 2018,Gini coefficient 2019,Gini coefficient 2020,Gini coefficient 2021,Gini coefficient 2022,Gini coefficient 2023
Nauru,NRU,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158,0.3236158
Nepal,NPL,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.35207018,0.43768105,0.43768105,0.43768105,0.43768105,0.43768105,0.43768105,0.43768105,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.32840586,0.30020264,0.30020264
Netherlands,NLD,0.31086653,0.31086653,0.31086653,0.3043144,0.3043144,0.3043144,0.3043144,0.3043144,0.3043144,0.28063396,0.28063396,0.28063396,0.28063396,0.28063396,0.29800007,0.2904823,0.30043328,0.2959278,0.29298013,0.27881998,0.2784524,0.27750087,0.2762093,0.2810648,0.2863142,0.2824158,0.2817357,0.28535804,0.28121036,0.29248324,0.2599421,0.2574387,0.2574387,0.2574387
Nicaragua,NIC,0.5712674,0.5712674,0.5712674,0.5712674,0.5712674,0.5712674,0.5712674,0.5712674,0.5437746,0.5437746,0.5437746,0.5287496,0.5287496,0.5287496,0.5287496,0.48820096,0.48820096,0.48820096,0.48820096,0.43941638,0.43941638,0.43941638,0.43941638,0.43941638,0.46156293,0.46156293,0.46156293,0.46156293,0.46156293,0.46156293,0.46156293,0.46156293,0.46156293,0.46156293
Niger,NER,0.3604249,0.3604249,0.3604249,0.3604249,0.4141697,0.4141697,0.4141697,0.4141697,0.4141697,0.4141697,0.4141697,0.4141697,0.4141697,0.4141697,0.4141697,0.44369024,0.44369024,0.3730385,0.3730385,0.3730385,0.3730385,0.31451714,0.31451714,0.31451714,0.34276575,0.34276575,0.34276575,0.34276575,0.37259424,0.37259424,0.37259424,0.32862565,0.32862565,0.32862565
Nigeria,NGA,0.44885525,0.44885525,0.44885525,0.44885525,0.44885525,0.44885525,0.51879764,0.51879764,0.51879764,0.51879764,0.51879764,0.51879764,0.51879764,0.40058756,0.40058756,0.40058756,0.40058756,0.40058756,0.40058756,0.40058756,0.3565021,0.3565021,0.35513008,0.35513008,0.35513008,0.35879776,0.35879776,0.35879776,0.35127744,0.35127744,0.35127744,0.35127744,0.35127744,0.35127744
North Macedonia,MKD,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.42760608,0.40062812,0.39360264,0.38132146,0.36238977,0.35201505,0.35590458,0.3453449,0.34198847,0.32960445,0.33505824,0.33505824,0.33505824,0.33505824,0.33505824
Norway,NOR,0.25226194,0.25226194,0.25226194,0.25226194,0.25226194,0.26019552,0.26019552,0.26019552,0.26019552,0.26019552,0.27358785,0.27358785,0.27358785,0.2762688,0.3157802,0.30596998,0.2635382,0.27090636,0.26996335,0.2615822,0.2572369,0.25300157,0.25725982,0.26361105,0.26752558,0.27496743,0.28493318,0.2698671,0.27560204,0.2774182,0.2774182,0.2774182,0.2774182,0.2774182
Pakistan,PAK,0.33248037,0.33248037,0.33248037,0.33248037,0.33248037,0.33248037,0.28664988,0.28664988,0.33123294,0.33123294,0.33123294,0.2865302,0.2865302,0.2865302,0.30886108,0.31261253,0.31261253,0.29669502,0.29669502,0.29669502,0.28780863,0.29697958,0.29697958,0.29528573,0.29528573,0.31291267,0.31291267,0.31291267,0.29589266,0.29589266,0.29589266,0.29589266,0.29589266,0.29589266
Palestine,PSE,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.3404466,0.34742624,0.3395928,0.35606077,0.35606077,0.34463975,0.3529443,0.34415236,0.34415236,0.34415236,0.34415236,0.34415236,0.3369004,0.3369004,0.3369004,0.3369004,0.3369004,0.3369004,0.3369004,0.3369004
Panama,PAN,0.5802924,0.5802924,0.5802924,0.5802924,0.5802924,0.576667,0.576667,0.58143127,0.5736364,0.5635335,0.5659207,0.5670764,0.560917,0.5565018,0.54772496,0.5380034,0.54636407,0.52685326,0.5269304,0.51770425,0.516088,0.51347023,0.51739,0.51456016,0.5046555,0.50805664,0.50406915,0.49885073,0.49211547,0.49837545,0.49837545,0.5085843,0.5085843,0.48875833
Papua New Guinea,PNG,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.45765835,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442,0.41850442
Paraguay,PRY,0.4083735,0.4083735,0.4083735,0.4083735,0.4083735,0.5814064,0.5814064,0.54888344,0.54888344,0.5457138,0.5457138,0.54626775,0.57274485,0.54937583,0.52260363,0.5138116,0.5299425,0.5304046,0.50704694,0.49145123,0.5098244,0.52309674,0.47633564,0.479354,0.50702643,0.47605744,0.47899717,0.4854749,0.459551,0.45650637,0.43481943,0.4290515,0.45108196,0.45108196
Peru,PER,0.5325665,0.5325665,0.5325665,0.5325665,0.5325665,0.5325665,0.5325665,0.5325665,0.55117506,0.5482133,0.49072054,0.5130185,0.535637,0.5307964,0.4987963,0.5044914,0.50332135,0.5002141,0.47486418,0.47006038,0.45537677,0.44659775,0.4444003,0.4388273,0.43138838,0.43356073,0.4363899,0.43292674,0.4236557,0.4152813,0.4373994,0.4012181,0.40349188,0.40349188
Philippines,PHL,0.4382355,0.4382355,0.4382355,0.4382355,0.42888388,0.42888388,0.42888388,0.45962209,0.45962209,0.45962209,0.42799473,0.42799473,0.42799473,0.4149466,0.4149466,0.4149466,0.4285884,0.4285884,0.4285884,0.41760337,0.41760337,0.41760337,0.4222433,0.4222433,0.4222433,0.40351498,0.40351498,0.40351498,0.37811705,0.37811705,0.37811705,0.37268466,0.37268466,0.37268466
Poland,POL,0.29298562,0.29298562,0.29298562,0.29298562,0.29298562,0.3464313,0.3464313,0.3464313,0.3464313,0.32289156,0.32289156,0.32289156,0.32289156,0.32289156,0.3802178,0.35808384,0.34667546,0.34001285,0.33485633,0.33355722,0.3321481,0.33180645,0.3302016,0.33137318,0.32824445,0.3175091,0.31189167,0.2968527,0.302149,0.28760177,0.284626,0.28479505,0.28479505,0.28479505
Portugal,PRT,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38775018,0.38938782,0.38480073,0.3806078,0.36750183,0.3663415,0.34907416,0.35844672,0.36344677,0.36034793,0.36187103,0.35562173,0.355233,0.3519052,0.3380384,0.33492562,0.32762748,0.3466863,0.3459202,0.3459202,0.3459202
Qatar,QAT,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385,0.35128385
Romania,ROU,0.25461727,0.25461727,0.25461727,0.25461727,0.28200582,0.31158027,0.31158027,0.30504426,0.30504426,0.30504426,0.30504426,0.30504426,0.30504426,0.30504426,0.30504426,0.30504426,0.3964077,0.37547696,0.36428705,0.35564327,0.3547109,0.3586662,0.3654543,0.3691507,0.36009043,0.35913625,0.34406662,0.36012593,0.35758388,0.34800515,0.3457019,0.3385264,0.3385264,0.3385264
Russia,RUS,0.45385477,0.45385477,0.45385477,0.45385477,0.45385477,0.45385477,0.4609863,0.38409194,0.38137,0.37443382,0.37092733,0.36924976,0.37283763,0.39971545,0.4031583,0.41265598,0.4095094,0.42272472,0.41568583,0.398456,0.39548978,0.39749315,0.40714827,0.40884423,0.3988122,0.37710539,0.368485,0.37239072,0.37473005,0.37736863,0.36068243,0.36068243,0.36068243,0.36068243
Rwanda,RWA,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.4851838,0.52019864,0.52019864,0.52019864,0.52019864,0.52019864,0.4722184,0.4722184,0.4722184,0.45111495,0.45111495,0.45111495,0.43709454,0.43709454,0.43709454,0.43709454,0.43709454,0.43709454,0.43709454,0.43709454
Saint Lucia,LCA,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.4258438,0.5122298,0.5122298,0.5122298,0.5122298,0.5122298,0.5122298,0.5122298,0.5122298,0.5122298
Samoa,WSM,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4073552,0.4204655,0.4204655,0.4204655,0.4204655,0.4204655,0.38743454,0.38743454,0.38743454,0.38743454,0.38743454,0.38743454,0.38743454,0.38743454,0.38743454,0.38743454,0.38743454
Sao Tome and Principe,STP,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.32125893,0.3082127,0.3082127,0.3082127,0.3082127,0.3082127,0.3082127,0.3082127,0.4072948,0.4072948,0.4072948,0.4072948,0.4072948,0.4072948,0.4072948
Senegal,SEN,0.5404016,0.5404016,0.5404016,0.5404016,0.39245197,0.39245197,0.39245197,0.39245197,0.39245197,0.39245197,0.39245197,0.41229436,0.41229436,0.41229436,0.41229436,0.3921271,0.3921271,0.3921271,0.3921271,0.3921271,0.3921271,0.40274113,0.40274113,0.40274113,0.40274113,0.40274113,0.40274113,0.40274113,0.38314784,0.38314784,0.38314784,0.3615772,0.3615772,0.3615772
