entity,code,GDP per Capita 1990,GDP per Capita 1991,GDP per Capita 1992,GDP per Capita 1993,GDP per Capita 1994,GDP per Capita 1995,GDP per Capita 1996,GDP per Capita 1997,GDP per Capita 1998,GDP per Capita 1999,GDP per Capita 2000,GDP per Capita 2001,GDP per Capita 2002,GDP per Capita 2003,GDP per Capita 2004,GDP per Capita 2005,GDP per Capita 2006,GDP per Capita 2007,GDP per Capita 2008,GDP per Capita 2009,GDP per Capita 2010,GDP per Capita 2011,GDP per Capita 2012,GDP per Capita 2013,GDP per Capita 2014,GDP per Capita 2015,GDP per Capita 2016,GDP per Capita 2017,GDP per Capita 2018,GDP per Capita 2019,GDP per Capita 2020,GDP per Capita 2021,GDP per Capita 2022,GDP per Capita 2023
Australia,AUS,36886.1444273767,36279.7540525751,36029.4845675544,37155.5123959647,38264.146671105,39310.7982327944,40337.1060519133,41464.4982180697,42967.6616681962,44636.9418129494,45859.5162097045,46191.3142366289,47486.2783216389,48394.1269478095,49902.0187022536,50853.1976727529,51553.9685966991,52531.7611201084,53336.1012157008,53237.0077642312,53578.8125049759,54111.357240336,55257.5739287362,55728.0174035719,56327.8533063277,56739.0265346593,57401.0662268939,57750.6482221688,58530.7821697117,58924.733646242,58132.798523626,59276.503107197,61009.8077147403,61583.9188935304
Austria,AUT,31167.1858089051,31919.5572961167,32231.1217246909,32134.8299098991,32780.342031078,33603.4277668346,34301.6562559914,34998.0320577293,36180.7490843101,37468.8699525693,38571.0858515901,38929.753817402,39313.7226059057,39569.2886405101,40333.330706218,40989.013215254,42120.1557756904,43568.8302726368,44063.8642404045,42372.4758387703,43035.407467795,44146.1957578601,44221.4600041556,43851.3675464788,43838.8346845363,43915.228020857,44362.6702918145,45056.6386908289,45951.5818951582,46550.5623430785,43428.6983141255,45313.3990043754,47250.969589759,46338.9571249412
Azerbaijan,AZE,2820.84010307402,2764.07399346223,2107.29678414183,1596.13266566318,1264.5271891937,1102.49789007407,1105.58724229428,1158.4816576176,1262.29188712613,1343.85593869878,1480.80869072436,1614.84885813475,1754.13524132991,1918.61103696953,2077.88527047339,2631.85145279408,3501.16482500603,4327.11360468848,4693.07707968116,5023.9672905028,5215.20415429496,5152.83850244744,5194.92091665083,5426.09594155961,5506.18169600319,5500.50364628486,5270.738165712,5229.7098898586,5262.36870473368,5348.45318851823,5083.56025445721,5345.43986445831,5595.25578671563,5651.34563872949
"Bahamas, The",BHS,31013.4113096277,29209.8799129391,27581.9230250065,27152.8748810207,27519.5438938555,28252.7077066212,28983.8030082001,28919.2895646365,29854.6965869756,31562.5997734386,32443.4821122756,32889.1043697221,33393.907041321,32578.1443340618,32462.8400808186,33163.9593062091,33561.2518428191,33568.7414244241,32350.5258109189,30599.0229081654,30675.1646102905,30510.3112586785,31111.9605332274,29943.2833151727,30229.5788172228,30289.4022514831,29788.630398974,30432.0034857242,31054.8232648137,30481.3536731138,23879.3136835653,27522.0226408093,30400.100277377,31053.8006388734
Bahrain,BHR,18345.8379968815,20882.5059585425,21701.2221810674,23858.1932700978,23180.3323729315,23465.7128444519,23795.2091340679,23893.1335734362,24386.5914731011,24773.8463984048,25407.9695506994,25106.2869597603,24149.0155867095,23857.640497887,23688.1119870174,23439.6704259167,23095.0182544673,23112.4887473872,23127.2147074223,22206.9371565184,22224.0736166249,23288.0449398313,23894.8804447088,24271.6278814506,24135.4991304849,23734.0551143019,23715.2791328712,23606.8867501313,24059.7838641562,24873.6640060134,23586.9309581516,24086.7847803428,25187.1425681324,25076.6545031009
Bangladesh,BGD,473.444821021085,480.673358976087,497.371173735323,511.193509421294,521.323144726555,537.931946643983,552.077107138767,566.271140847632,584.448175174047,600.232323162952,620.560472822105,641.288922876274,655.672139362272,676.826252046427,702.656357081873,739.203718353409,779.419570444998,825.508229964537,866.45815762135,901.729626251937,943.66422864236,995.579947155662,1050.39140404066,1103.15695907123,1159.40753475981,1224.38647668165,1299.83091360792,1373.75363740186,1462.25050255713,1564.20802445636,1604.6659234742,1702.08028414189,1804.3493461776,1885.37733613545
Barbados,BRB,17426.9351835134,16696.22733988,15691.7053745298,15770.1013386706,16050.7397691905,16347.8193415767,16982.0088873431,17779.6524073263,18439.4684285478,18495.4685457422,19351.4637536222,18867.6490272458,18892.1731269,19184.9279509598,19344.9607588108,20004.7667883518,21117.3140469227,21454.1970493913,21477.2080975613,20294.7825842242,19763.952363572,19555.7321072204,19438.2179113021,19191.4375467197,19160.122299023,18954.2913724506,19251.9834223357,19237.287488428,18974.8571786909,19064.9975884863,16166.6559507829,16099.7749737734,18959.3351638653,19734.2380260921
Belarus,BLR,2888.81907069821,2852.83689147968,2573.30498643864,2372.49018343591,2097.38630357777,1885.36460876549,1944.69111376635,2175.40833900412,2368.78831406642,2460.37464166009,2615.36929738429,2753.03951749076,2910.40552581074,3137.2692460885,3520.41196333398,3877.72558343066,4291.69554039507,4682.21666120022,5177.65628805365,5200.78517563822,5616.10598460952,5941.70254722329,6052.65016288478,6115.445804695,6212.92980286522,5967.06856034227,5811.21387285116,5964.90929450138,6165.92623183228,6267.7483339582,6252.00220091446,6457.74418441168,6206.63221336061,6482.80295076287
Belgium,BEL,29609.6207847014,30040.5508722561,30376.8745233822,29967.3944141531,30839.2414478946,31508.6226413688,31862.6694406461,32991.5010339643,33566.9875682096,34676.6051727182,35878.3153948197,36148.2881160202,36600.862545353,36826.2699200097,37976.697319251,38645.2605555367,39371.0857898642,40520.0843652615,40380.9074712395,39293.6375830961,39991.5646228587,40236.9596151297,40074.4928091814,40007.8997697861,40533.9134833922,40893.804537772,41172.8862464509,41619.3286089022,42208.3625852238,43006.4042605622,40769.0218401768,43119.894333477,44583.5767711768,44731.0420983801
Belize,BLZ,4111.68186005974,4498.65988154226,4966.68328051626,5165.5406214628,5055.70052469135,4966.79958676435,4874.55662204451,4914.25622252639,4930.24629363195,5212.36550357123,5662.33419045965,5763.67721322443,5893.70035034857,6273.01058592748,6381.59597801024,6335.67777675053,6434.11864385377,6465.21936364157,6183.93891771798,5997.24330826644,5919.55662085777,5777.83112948952,5866.25148992843,5998.17830945783,6109.47778375326,6154.49593498217,6016.49646985703,5772.92692023491,5729.21045186202,5886.9622354935,5003.87784847193,5824.30394264153,6269.37997445105,6212.26051785042
