Entity,Code,Literacy rate 1990,Literacy rate 1991,Literacy rate 1992,Literacy rate 1993,Literacy rate 1994,Literacy rate 1995,Literacy rate 1996,Literacy rate 1997,Literacy rate 1998,Literacy rate 1999,Literacy rate 2000,Literacy rate 2001,Literacy rate 2002,Literacy rate 2003,Literacy rate 2004,Literacy rate 2005,Literacy rate 2006,Literacy rate 2007,Literacy rate 2008,Literacy rate 2009,Literacy rate 2010,Literacy rate 2011,Literacy rate 2012,Literacy rate 2013,Literacy rate 2014,Literacy rate 2015,Literacy rate 2016,Literacy rate 2017,Literacy rate 2018,Literacy rate 2019,Literacy rate 2020,Literacy rate 2021,Literacy rate 2022,Literacy rate 2023
Tajikistan,TJK,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.7,99.7,99.7,99.7,99.76841,99.78105,99.78105,99.78105,99.78105,99.78105,99.78105,99.78105,99.78105,99.78105
Tanzania,TZA,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,67.8007,67.8007,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,82.02,82.02
Thailand,THA,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,96.0,96.0,96.0,94.0,94.0,93.0,91.9814,91.9814,94.0,91.26915,91.26915,94.1,91.09987,91.09987
Togo,TGO,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,57.0,57.0,57.0,57.0,57.0,60.0,60.0,60.0,60.0,64.0,64.0,64.0,64.0,67.0,67.0,67.0,67.0,67.0
Tonga,TON,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.39786,99.39786,99.39786,99.39786,91.05162,91.05162,99.4,99.4,99.4
Trinidad and Tobago,TTO,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.9,97.9,97.9,97.9,98.28851,98.28851,98.28851,98.28851,98.28851,98.28851,98.28851,98.28851,98.28851,98.28851,98.91949,98.96958,98.96958,98.96958,98.96958,98.96958,98.96958,98.96958,98.96958,98.96958
Tunisia,TUN,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,59.06181,74.0,74.0,74.0,77.0,78.0,78.0,79.0,80.0,80.0,80.0,79.0,81.05419,81.05419,81.05419,79.47511,81.0,81.0,81.0,85.21493,85.21493
Turkey,TUR,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,87.0,88.0,88.0,89.0,89.0,91.0,93.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0
Turkmenistan,TKM,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.67285,99.69293,99.69293,99.69293,99.69293,99.69293,99.69293,99.69293,99.69293,99.69293
Uganda,UGA,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,71.0,73.0,73.0,70.0,70.0,70.0,73.80984,69.10132,69.10132,69.10132,69.10132,69.10132,69.10132,80.59,80.59
Ukraine,UKR,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.97435,99.97435,99.75347,99.76411,99.76411,99.76411,99.76411,99.76411,99.76411,100.0,100.0,100.0
United Arab Emirates,ARE,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.98637,92.98637,92.98637,92.98637,98.0,98.0,98.0,98.0,98.0
United Kingdom,GBR,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
United States,USA,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Upper middle income,,81.91885,81.91885,81.91885,81.91885,81.91885,81.91885,81.91885,81.91885,81.91885,81.91885,90.65731,90.65731,90.65731,90.65731,90.65731,90.65731,90.65731,90.65731,90.65731,90.65731,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899,94.26899
Upper-middle-income countries,,81.04114,81.58651,82.15758,82.6979,83.23142,83.80124,84.31269,88.7168,89.1177,89.47645,89.87667,90.19642,90.54139,90.98183,91.3237,91.58416,91.86817,92.87729,93.30886,93.40503,93.60919,93.75011,93.99739,94.06516,94.41684,94.53935,94.76116,94.77168,94.92602,95.21391,95.32048,95.35308,95.49537,95.61952
Uruguay,URY,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Uzbekistan,UZB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
