Entity,Code,Literacy rate 1990,Literacy rate 1991,Literacy rate 1992,Literacy rate 1993,Literacy rate 1994,Literacy rate 1995,Literacy rate 1996,Literacy rate 1997,Literacy rate 1998,Literacy rate 1999,Literacy rate 2000,Literacy rate 2001,Literacy rate 2002,Literacy rate 2003,Literacy rate 2004,Literacy rate 2005,Literacy rate 2006,Literacy rate 2007,Literacy rate 2008,Literacy rate 2009,Literacy rate 2010,Literacy rate 2011,Literacy rate 2012,Literacy rate 2013,Literacy rate 2014,Literacy rate 2015,Literacy rate 2016,Literacy rate 2017,Literacy rate 2018,Literacy rate 2019,Literacy rate 2020,Literacy rate 2021,Literacy rate 2022,Literacy rate 2023
Bhutan,BTN,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,63.90682,63.90682,67.0,67.0,67.0,67.0,67.0,72.1,72.1
Bolivia,BOL,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,87.0,87.0,87.0,87.0,87.0,87.0,91.0,91.0,91.0,91.0,92.0,94.0,94.0,94.0,92.0,92.0,92.0,92.0,92.0,94.0,94.0,94.0,94.0
Bosnia and Herzegovina,BIH,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.14204,98.14204,97.0,98.37765,98.48576,98.48576,98.48576,98.48576,98.48576,98.48576,98.48576,98.3,98.3
Botswana,BWA,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,86.82318,87.70751,88.22441,88.22441,88.22441,88.22441,88.22441,88.22441,88.22441,88.22441,88.22441
Brazil,BRA,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,94.69,94.69
British Virgin Islands,VGB,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8
Brunei,BRN,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,96.0,96.0,96.0,96.0,96.65653,96.65653,96.65653,96.65653,96.65653,96.65653,97.59,97.59,97.59
Bulgaria,BGR,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.38858,98.38858,98.38858,98.38858,98.38858,98.38858,98.42,98.42,98.42
Burkina Faso,BFA,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,22.0,22.0,24.0,22.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,35.0,37.7467,37.7467,37.7467,39.0,30.0,30.0,36.96738,34.49,34.49
Burundi,BDI,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,48.0,48.0,48.0,48.0,48.0,48.0,62.0,85.49609,65.68774,68.0,68.0,68.0,68.0,68.0,75.54,75.54
Cambodia,KHM,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,74.0,77.0,76.0,76.0,76.0,76.0,76.0,78.0,81.0,81.0,81.0,81.0,81.0,81.0,71.92725,83.78,83.78
Cameroon,CMR,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,74.98558,74.98558,74.98558,72.54713,72.54713,78.23,78.23,78.23,78.23
Canada,CAN,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Cape Verde,CPV,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,76.11044,76.11044,76.11044,76.11044,80.01972,80.01972,80.01972,80.01972,80.01972,80.01972,80.01972,80.01972,85.0,85.0,85.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,91.0,91.0
Caribbean small states,,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,88.1378,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071,91.76071
Cayman Islands,CYM,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Central African Republic,CAF,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,36.75261,36.75261,36.75261,36.75261,36.75261,36.75261,36.75261,36.75261,37.0,42.44279,37.49,37.49,37.49,37.49
Central Europe and the Baltics,,98.59496,98.59496,98.59496,98.59496,98.59496,98.59496,98.59496,98.59496,98.59496,98.59496,98.96019,98.96019,98.96019,98.96019,98.96019,98.96019,98.96019,98.96019,98.96019,98.96019,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096,99.36096
Central Europe and the Baltics (WB),,98.34003,98.40038,98.45833,98.509,98.55935,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,98.60749,99.2969,99.3146,99.33225,99.35021,99.37021,99.41868,99.43812,99.4566,99.47559,99.48735,99.48735
Chad,TCD,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,39.04967,26.00299,22.0,22.0,22.0,30.62792,30.62792,30.62792,27.28,27.28
Chile,CHL,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,98.64901,98.55368,98.55368,97.0,97.0,96.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,97.16,97.16
China,CHN,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,95.0,95.0,95.0,95.0,95.0,96.35745,96.35745,96.35745,96.35745,96.35745,97.0,97.0,97.0,97.0
Colombia,COL,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,93.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0
Comoros,COM,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,49.19614,49.19614,77.57327,78.13739,78.13739,78.13739,78.13739,78.13739,78.13739,78.13739,61.71,61.71
Congo,COG,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,79.31117,79.31117,79.31117,79.31117,79.31117,79.31117,79.31117,79.31117,79.31117,79.31117,80.61,80.61,80.61
Cook Islands,COK,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Costa Rica,CRI,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,97.0,97.0,97.0,97.0,97.64725,97.64725,97.64725,97.64725,97.64725,97.64725,98.04,98.04,98.04
Cote d'Ivoire,CIV,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,40.98163,40.98163,44.0,43.26532,50.03968,50.03968,50.03968,90.0,90.0,50.00064,50.00064,50.00064
Croatia,HRV,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.12536,99.12536,99.12536,99.12536,99.27259,99.27259,99.27259,99.27259,99.27259,99.27259,99.45,99.45,99.45
Cuba,CUB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.71072,99.71072,99.71072,99.71072,97.65491,97.65491,99.67311,99.67311,99.67311
Cyprus,CYP,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,99.05978,99.05978,99.05978,99.05978,99.05978,99.05978,99.36,99.36,99.36
Czechia,CZE,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Democratic Republic of Congo,COD,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,61.20555,61.20555,61.20555,61.20555,61.20555,75.0,75.0,75.0,77.22167,77.0,77.0,73.55303,73.55303,73.55303,73.55303,80.54,80.54
Denmark,DNK,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Djibouti,DJI,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9
Dominica,DMA,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
Dominican Republic,DOM,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,90.0,90.0,90.0,91.0,92.0,92.0,94.0,94.0,94.0,94.0,94.0,94.0,95.5,95.5
Early-demographic dividend,,59.518055,59.518055,59.518055,59.518055,59.518055,59.518055,59.518055,59.518055,59.518055,59.518055,69.11661,69.11661,69.11661,69.11661,69.11661,69.11661,69.11661,69.11661,69.11661,69.11661,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836,76.50836
East Asia & Pacific,,82.054344,82.054344,82.054344,82.054344,82.054344,82.054344,82.054344,82.054344,82.054344,82.054344,91.61869,91.61869,91.61869,91.61869,91.61869,91.61869,91.61869,91.61869,91.61869,91.61869,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822,95.10822
East Asia & Pacific (IDA & IBRD),,79.458626,79.458626,79.458626,79.458626,79.458626,79.458626,79.458626,79.458626,79.458626,79.458626,90.649956,90.649956,90.649956,90.649956,90.649956,90.649956,90.649956,90.649956,90.649956,90.649956,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925,94.68925
East Asia & Pacific (excluding high income),,79.7442,79.7442,79.7442,79.7442,79.7442,79.7442,79.7442,79.7442,79.7442,79.7442,90.77303,90.77303,90.77303,90.77303,90.77303,90.77303,90.77303,90.77303,90.77303,90.77303,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167,94.75167
East Asia and the Pacific (WB),,81.17076,81.71117,82.22357,82.68984,83.24469,83.8043,84.29005,89.27749,89.64291,89.96028,90.32185,90.63564,90.98982,91.36144,91.69448,92.02961,92.37919,93.5125,93.81618,94.08518,94.20017,93.8646,94.09502,94.20693,94.71124,94.92792,95.13196,95.32305,95.36943,95.80688,96.0287,96.16493,96.30093,96.43049
East Timor,TLS,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,51.0,51.0,51.0,58.0,58.0,58.0,58.0,58.0,64.06614,65.77913,65.77913,65.77913,65.77913,69.9,69.9,69.9,69.9
Ecuador,ECU,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,91.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,94.0,94.0,94.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0
Egypt,EGY,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,67.0,66.0,66.0,66.0,66.0,72.0,72.0,74.0,72.0,72.0,75.84262,75.84262,71.0,71.0,71.0,71.0,71.0,74.5,74.5
El Salvador,SLV,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,80.77836,80.77836,84.0,82.0,84.0,84.0,84.0,85.0,85.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,90.0,90.0,90.0,90.0
Equatorial Guinea,GNQ,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,94.37054,94.37054,94.37054,94.37054,94.95674,95.19566,95.19566,95.19566,95.19566,95.19566,95.19566,95.19566,95.19566,95.19566
Eritrea,ERI,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,65.0,65.0,65.0,65.0,65.0,65.0,72.79049,73.84525,73.84525,73.84525,76.57052,76.57052,76.57052,76.57052,76.57052,76.57052
Estonia,EST,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82351,99.82351,99.82351,99.82351,99.82351,99.82351,99.87,99.87,99.87
Eswatini,SWZ,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.09829,83.09829,83.09829,83.09829,83.09829,87.47019,87.47019,87.47019,87.47019,87.47019,89.28,89.28,90.74702,90.74702
Ethiopia,ETH,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,35.9,29.82034,29.82034,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,49.03152,47.49159,51.77118,51.77118,51.77118,51.77118,51.77118,51.77118,51.77118
Europe & Central Asia,,97.26079,97.26079,97.26079,97.26079,97.26079,97.26079,97.26079,97.26079,97.26079,97.26079,98.14584,98.14584,98.14584,98.14584,98.14584,98.14584,98.14584,98.14584,98.14584,98.14584,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759,98.99759
Europe & Central Asia (IDA & IBRD),,95.9422,95.9422,95.9422,95.9422,95.9422,95.9422,95.9422,95.9422,95.9422,95.9422,97.452644,97.452644,97.452644,97.452644,97.452644,97.452644,97.452644,97.452644,97.452644,97.452644,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095,98.89095
Europe & Central Asia (excluding high income),,95.56776,95.56776,95.56776,95.56776,95.56776,95.56776,95.56776,95.56776,95.56776,95.56776,97.21841,97.21841,97.21841,97.21841,97.21841,97.21841,97.21841,97.21841,97.21841,97.21841,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964,98.79964
Europe and Central Asia (WB),,95.93806,95.93806,95.93806,95.93806,95.93806,96.06758,96.22135,96.3414,96.48624,96.59245,96.65252,96.7528,96.91116,97.00517,97.09123,97.21017,97.27016,97.35178,97.47324,97.73077,97.89465,98.03516,98.13266,98.19623,98.23871,98.28185,98.33891,98.41798,98.50179,98.56401,98.60383,98.64628,98.66442,98.68871
Fiji,FJI,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7
Finland,FIN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Fragile and conflict affected situations,,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,63.947193,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667,68.33667
France,FRA,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Gabon,GAB,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,81.84552,81.84552,81.84552,81.84552,81.84552,81.84552,81.84552,81.84552,82.2838,82.2838,82.2838,83.23788,83.23788,83.23788,83.23788,83.23788,83.23788,88.85834,85.69,85.69
Gambia,GMB,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.95005,54.38756,51.0,51.0,51.0,53.1602,53.1602,53.1602,51.6374,58.67,58.67
Georgia,GEO,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.75962,99.75962,99.0,99.65366,99.65366,99.65366,99.65366,100.0,100.0
Germany,DEU,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Ghana,GHA,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,71.0,71.0,71.0,71.0,71.0,76.5759,76.5759,64.49239,64.49239,64.49239,80.38,80.38,80.38,80.38
Gibraltar,GIB,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Greece,GRC,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,94.0,94.0,94.0,94.0,94.0,97.53238,95.29287,95.29287,95.29287,95.29287,95.29287,95.29287,95.29287,95.29287,95.29287
Greenland,GRL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Grenada,GRD,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
Guam,GUM,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.78904,99.78904,99.78904,99.78904,99.78904,99.78904,99.78904,99.78904,99.78904
Guatemala,GTM,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,78.0,77.0,81.0,80.19509,80.19509,80.19509,81.0,81.0,81.0,81.0,83.03117,83.03117
Guinea,GIN,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,25.0,25.0,32.0,30.47279,30.47279,30.47279,40.0,40.0,40.0,45.33,45.33,45.33
Guinea-Bissau,GNB,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.58116,59.77285,59.77285,59.77285,59.77285,54.88232,54.88232,54.88232,53.9,53.9
Guyana,GUY,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,84.99401,85.63973,87.53532,87.53532,87.53532,87.53532,87.53532,85.63835,85.63835,90.03,90.03
Haiti,HTI,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,48.68502,48.68502,48.68502,48.68502,48.68502,48.68502,48.68502,48.68502,48.68502,60.68935,61.69135,68.00986,68.00986,68.00986,68.00986,68.00986,68.00986,68.00986
Heavily indebted poor countries (HIPC),,45.420242,45.420242,45.420242,45.420242,45.420242,45.420242,45.420242,45.420242,45.420242,45.420242,52.221073,52.221073,52.221073,52.221073,52.221073,52.221073,52.221073,52.221073,52.221073,52.221073,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166,57.837166
Honduras,HND,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,87.0,88.0,89.0,89.0,87.0,89.0,89.0,89.0,89.0,89.0
Hong Kong,HKG,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5
Hungary,HUN,99.1,99.1,99.1,99.1,98.98207,98.98207,98.98207,98.98207,98.98207,98.98207,98.98207,98.98207,98.98207,98.98207,99.02922,99.02922,99.02922,99.02922,99.02922,99.02922,99.02922,99.02922,99.02922,99.02922,99.05012,99.38088,99.38088,99.38088,99.38088,99.38088,99.38088,99.1,99.1,99.1
IBRD only,,73.64205,73.64205,73.64205,73.64205,73.64205,73.64205,73.64205,73.64205,73.64205,73.64205,82.563576,82.563576,82.563576,82.563576,82.563576,82.563576,82.563576,82.563576,82.563576,82.563576,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906,87.32906
IDA & IBRD total,,69.8612,69.8612,69.8612,69.8612,69.8612,69.8612,69.8612,69.8612,69.8612,69.8612,77.90584,77.90584,77.90584,77.90584,77.90584,77.90584,77.90584,77.90584,77.90584,77.90584,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069,82.39069
IDA blend,,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,63.288082,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975,69.031975
IDA only,,48.29747,48.29747,48.29747,48.29747,48.29747,48.29747,48.29747,48.29747,48.29747,48.29747,55.4478,55.4478,55.4478,55.4478,55.4478,55.4478,55.4478,55.4478,55.4478,55.4478,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894,61.650894
IDA total,,54.1447,54.1447,54.1447,54.1447,54.1447,54.1447,54.1447,54.1447,54.1447,54.1447,59.467594,59.467594,59.467594,59.467594,59.467594,59.467594,59.467594,59.467594,59.467594,59.467594,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312,64.43312
Iceland,ISL,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
India,IND,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,63.0,63.0,69.0,69.0,69.0,69.0,72.2253,72.2253,72.2253,72.2253,72.2253,72.2253,72.2253,76.0,77.0
Indonesia,IDN,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,90.0,90.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0
