Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,18.75421184,18.33708987,18.12853213,18.09814849,18.19542585,18.33362473,18.3837871,18.29347872,18.13869917,18.00526343,17.9187909,17.8477378,17.77573538,17.66202286,17.4768287,17.26588552,17.113689,17.04683041,16.99242064,16.88898583,16.76287614,16.70996457,16.77263216,16.89647086,17.02354241,17.0529856,16.88280337,16.485842,15.99070616,15.5263587,15.13257213,14.80568539,14.54586678
British Virgin Islands,16.02493051,15.62336158,15.24911998,14.91746523,14.61884492,14.35933912,14.13084391,13.93230179,13.76782882,13.61335516,13.48216787,13.36768267,13.2741289,13.19313441,13.12730521,13.07358608,13.02287983,12.98364365,12.96424842,12.96020345,12.94326552,12.94900403,12.95718813,12.95969375,12.92226962,12.85560931,12.75192814,12.61340601,12.44712279,12.27000347,12.11252547,11.94292837,11.7415658
Brunei Darussalam,16.0426128,15.45098789,14.89647061,14.33748248,13.77275491,13.1887362,12.56518628,11.92526854,11.2869455,10.68483994,10.13433058,9.625616091,9.187614547,8.798436605,8.452458604,8.153177932,7.902720394,7.683954983,7.499727919,7.334435337,7.177106192,7.027348882,6.875578666,6.730037165,6.590082653,6.471571404,6.379267449,6.323803014,6.312610637,6.359511567,6.464728263,6.625627719,6.819726748
Bulgaria,12.11380637,12.16745342,12.23898603,12.27279358,12.20862778,12.03681249,11.77015453,11.42735979,11.03687895,10.62380558,10.22286569,9.861947109,9.562111025,9.340917996,9.206196422,9.132354195,9.079811513,9.00485669,8.877776761,8.667107047,8.400123407,8.116457446,7.854113962,7.619031062,7.419994062,7.260536963,7.147742282,7.079437978,7.053465094,7.070904537,7.118462598,7.179665597,7.236316011
Burkina Faso,74.04208349,73.05294637,72.14544925,71.25124779,70.31306342,69.23707433,68.06274396,66.6709002,65.08274856,63.33996892,61.54494218,59.61955037,57.72188935,55.79599586,53.93401392,52.06973749,50.27407152,48.4658623,46.68740939,44.98982226,43.36739234,41.91689969,40.5846498,39.36763266,38.29383663,37.33253851,36.45669694,35.50209295,34.7162423,33.9332362,33.24605114,32.49103857,34.15271807
Burundi,133.804868,138.1998296,141.6491669,240.0102362,145.9417614,144.8755301,141.2141172,135.7919469,129.1380016,121.6554071,113.473588,104.8306165,96.10842238,87.34705344,78.74772162,70.52665692,63.03536738,56.78036144,51.81757064,48.04596997,45.3852065,43.6405524,42.47696099,41.72704496,41.15835139,40.84473645,40.64611431,40.59895508,40.50593587,40.27107291,40.02156237,39.68810204,39.41896121
Cabo Verde,14.3230524,14.3500903,14.39672987,14.4332732,14.43423604,21.42607034,14.2141908,13.97203588,13.65080505,13.26619759,12.87473278,12.50045413,12.15861367,11.87734362,11.65247997,11.45378628,11.25204364,11.02790922,10.77239913,10.48885155,10.18957178,9.902133534,9.636883917,9.412382275,9.233080857,9.080142042,8.95023148,8.869827523,8.772268439,8.689177728,8.632193463,8.595391827,8.55091656
Cambodia,68.45030807,65.40366472,62.53349208,59.70772271,56.79098868,53.75080747,50.55918019,47.19989103,43.88155207,40.55181952,37.38215841,34.41924457,31.71482472,29.31648052,27.2587633,25.45209968,23.9399103,22.61964684,21.44585432,20.37072481,19.3941266,18.47460891,17.69784436,17.02466171,16.50816695,16.11499347,15.84338124,15.63492789,15.49570593,15.41569497,15.36592275,15.32646345,15.26297736
Cameroon,61.31611175,61.37834592,61.52093965,61.67776333,61.9165069,62.17738593,62.39566328,62.59260517,62.73647965,62.74147131,62.6097615,62.36108029,62.03405785,61.58312805,61.07332835,60.50594698,59.8593549,59.16980077,58.42680401,57.67177571,56.93582652,56.26218208,55.63306844,55.04846907,54.48178597,53.92797217,53.40932969,52.91288148,52.34570131,51.67980375,51.09316962,50.5298418,50.01272817
Canada,9.595217826,9.176900065,8.768552446,8.426590389,8.153140174,7.923541761,7.720388739,7.538833949,7.367222307,7.199031519,7.020301459,6.832586757,6.673605385,6.571842117,6.501325289,6.414805502,6.287219657,6.131083005,5.962949017,5.795922026,5.640685155,5.501163037,5.379481374,5.276888546,5.22091083,5.248960058,5.362242127,5.488703055,5.5498702,5.583710273,5.690650314,5.91480845,6.163910941
Central African Republic,73.49944715,73.1213094,72.95876798,72.7712997,72.7531363,72.77316199,72.89143877,73.04112213,73.14423268,73.26751692,73.34578123,73.6218845,74.01609357,74.52526285,75.01123335,75.23974207,75.52771141,75.45087628,75.17906762,75.21720767,75.13087445,75.07372176,74.66820969,74.3093073,73.96406961,73.71226883,73.46830487,79.15357196,72.69412083,72.19186882,71.17852981,75.72046536,69.47237368
Chad,104.5213499,86.10813921,85.06201992,84.01159976,83.06567164,82.07674468,81.1856053,80.20784344,79.32912202,78.37761536,77.31559866,76.26501112,75.17574061,74.12600313,72.99944863,72.00124701,71.04185077,70.154219,69.21821295,68.35456513,67.51684091,66.69822255,65.95751088,65.1664825,64.39539808,63.51904327,62.74502431,61.99483379,61.20735065,60.51887934,59.88343166,59.44160326,58.84650412
Chile,11.39531952,11.13745891,10.90625808,10.71189393,10.54954273,10.39304895,10.17194396,9.825800887,9.422337645,9.073168521,8.826671027,8.637084493,8.443878172,8.240079626,8.038182664,7.858325978,7.755134008,7.769193419,7.832071199,7.804124642,7.625186102,7.373649207,7.135827037,6.950743703,6.841641069,6.805490497,6.805989507,6.804285121,6.807043253,6.842063677,6.916594639,6.989900564,7.015980565
China,15.86868602,15.33127975,14.79209703,14.24949532,13.70833337,13.16115075,12.63827825,12.12747215,11.63794669,11.16791712,10.71397003,10.28720485,9.876661412,9.491653629,9.127461211,8.775160224,8.442227837,8.13522249,8.356638112,7.568046827,7.307910705,7.070350336,6.882131665,6.736204223,6.632186553,6.543110518,6.474892515,6.412998106,6.357453844,6.302753934,6.262760532,6.227595694,6.201449751
Colombia,31.09870946,29.67137577,28.38214589,27.19543887,26.08868297,25.12526553,24.43858839,24.1174396,24.19558615,24.66269069,25.12233898,24.96553073,23.87310267,22.18807709,20.30504188,18.64110997,17.51124302,16.96564809,16.73842632,16.55991759,16.30675967,15.92655357,15.41774857,14.89466108,14.44806117,14.11001766,13.87048426,13.72217794,13.6687611,13.7115638,13.85610924,14.11270723,14.45397336
Comoros,41.55778966,40.23745491,38.93643935,37.64563433,36.31275978,35.10349573,33.84022793,32.59911612,31.3935464,30.2862552,29.15896876,28.08635422,27.03386877,26.01832588,25.06022389,24.13793604,23.22064289,22.34297771,21.47587476,20.64904892,19.85649487,19.09476399,18.33241509,17.6452624,16.97012043,16.28903102,15.66387816,15.08938309,14.5520097,14.11050674,13.77539764,13.51791822,13.29100819
Congo,90.16182649,85.08801293,80.81925712,77.00805913,73.53478586,70.35761666,67.27702499,64.24580453,61.15304521,58.08307341,55.08876085,52.20429309,49.44741765,46.8398338,44.41987166,42.14957428,39.99906697,37.94758744,36.01729499,34.147505,32.33016519,30.72023325,29.29278506,28.04117649,27.05037694,26.30970695,25.89727035,25.50652158,25.22021406,33.86489176,24.72390466,24.55847118,24.40331469
Cook Islands,22.44803262,22.42427628,22.44608926,22.37662281,22.28675811,22.10645534,21.84363604,21.48722703,21.07679794,20.57710531,20.02386355,19.42711024,18.75187488,18.00737792,17.26564809,16.5054131,15.77959494,15.0859708,14.52689831,14.08977796,13.79323249,13.6439883,13.53092098,13.43635332,13.36303424,13.32081799,13.3138273,13.24508485,13.20250948,13.12489131,13.13364026,13.13000786,13.00151696
Costa Rica,9.335959829,9.431858132,9.555495621,9.696705215,9.845223675,9.98813691,10.11100384,10.1875931,10.16834239,10.01498223,9.788768364,9.586063423,9.449777496,9.324343888,9.15571406,9.041394527,9.140884288,9.486713442,9.768943589,9.645771578,9.206311406,8.73516511,8.435750345,8.370854099,8.607624703,9.034030365,9.425544279,9.596411602,9.554915014,9.353834697,9.150324903,9.130338343,9.36454312
Croatia,12.82780169,19.92880918,14.65382356,14.23897005,12.97671972,11.78227936,10.30638038,9.365005525,8.725265247,8.314395057,8.04620084,7.851470917,7.687929272,7.518871162,7.33961861,7.164225931,6.994782032,6.790237622,6.524685759,6.205674638,5.872174468,5.548854128,5.269865791,5.052070417,4.901360841,4.81525575,4.796128974,4.831049566,4.913302793,5.027644888,5.155425947,5.274026755,5.360567487
Cuba,14.38650522,14.26363025,14.07454944,13.80231985,13.43170705,12.96492183,12.40525033,11.77309721,11.11593839,10.46681907,9.846680579,9.267111215,8.736969154,8.274272629,7.885682682,7.563963149,7.293730989,7.068822313,6.894529987,6.770915645,6.69278495,6.63688846,6.595293462,6.562753425,6.54059904,6.531067336,6.541182383,6.578932435,6.657244368,6.784766579,6.974863337,7.22902565,7.527461396
Cyprus,8.230156854,8.524439878,8.828658153,9.116575833,9.377643216,9.595475144,9.748755629,9.829385589,9.849695032,9.809018159,9.712817809,9.543653625,9.289199611,8.933447358,8.491687216,7.983196244,7.440512469,6.903348489,6.401310551,5.957939506,5.594170639,5.304016474,5.083925053,4.91304779,4.775720879,4.658461395,4.548339304,4.441964854,4.33003589,4.214567036,4.093158983,3.985821678,3.89348502
Czechia,9.263364387,9.336454328,9.344305891,9.257753916,9.05732358,8.779779314,8.48177012,8.203319156,7.961151694,7.763162806,7.593038971,7.420394183,7.226368498,7.013522744,6.787650453,6.558322855,6.336417109,6.129433731,5.938644994,5.765257651,5.603525802,5.447206029,5.290469911,5.140124248,5.003063484,4.884381269,4.788886541,4.718292461,4.668560669,4.629071844,4.60701675,4.612385607,4.643247852
Côte d'Ivoire,59.81391461,59.73333941,59.6544522,59.57858654,59.47140361,59.27666338,59.05397883,58.68382232,58.2520988,57.7170194,57.02972049,56.23428223,55.381164,54.41009281,53.46628221,52.49634638,51.5311881,50.47077138,49.37735279,48.19088572,46.95186736,45.6720624,44.36356978,43.05731841,41.81041794,40.61205767,39.40038545,38.17391757,37.00656974,35.84813528,34.71567366,33.69289098,32.81613563
Democratic People's Republic of Korea,22.85401795,24.52038887,24.06716814,23.63417535,23.19068286,41.94621736,41.45085997,41.06949812,40.820987,40.56471604,40.25145866,39.87885794,39.40169127,20.22723621,19.88482324,19.58641833,19.40139791,19.42641926,19.08274726,18.76382154,18.22006429,17.54494547,16.78894002,16.02672707,15.36197702,14.81624209,14.51930529,13.89829063,13.56813079,13.10841355,12.74720003,12.39941799,12.99967436
Democratic Republic of the Congo,87.1322253,84.67656378,82.39410438,80.44456876,78.71822733,77.11207092,82.38611886,74.54985525,73.37687369,72.46046664,71.56409492,70.70662038,69.71641097,68.81120571,67.91355896,67.08921448,66.35693984,65.78155711,65.42365636,65.13245513,64.9139448,64.75204222,64.71172778,64.49648754,64.16623213,63.78571189,63.41128581,62.89232585,62.14514439,61.64247837,61.27372808,60.86178488,60.65173723
Denmark,7.231411349,7.047719631,6.902097068,6.783022643,6.683311488,6.596221867,6.514085019,6.432361277,6.341367283,6.237358392,6.111665261,5.953155304,5.763013889,5.557012905,5.347607482,5.13845941,4.92116599,4.692549637,4.445437416,4.178774617,3.910717417,3.661348689,3.45032598,3.28527204,3.172125497,3.100859741,3.060501457,3.037864023,3.032260162,3.035298629,3.044603616,3.055998915,3.070976568
Djibouti,67.43291971,66.46555894,65.67634853,64.95603207,64.32787994,63.73444347,63.10903157,62.40947331,61.60121018,60.75621997,59.83793279,58.84227626,57.79779991,56.72145789,55.64811816,54.53954144,53.41593115,52.2737833,51.11505275,50.00116115,48.87159445,47.80725735,46.75209146,45.72647377,44.70962358,43.67423288,42.67422791,41.58557758,40.64342858,39.69177908,38.73146553,37.82543099,36.90595233
Dominica,11.20167733,11.12575022,11.08071411,11.04285784,10.99637784,10.9384821,10.88128199,10.81212728,10.744894,10.66974106,10.58978364,10.50109334,10.40589341,10.31149956,10.22985821,10.17000062,10.15715873,10.203723,10.28691388,10.40447405,10.5386187,10.66867291,10.76332861,10.83266262,10.86807358,10.90561189,10.93457026,22.43221784,11.04961652,11.13638263,11.23927992,11.27466827,11.25503394
Dominican Republic,20.20922243,20.30410917,20.3892476,20.51916526,20.69836288,20.86890251,21.08182913,21.26492346,21.41750555,21.53963363,21.61078152,21.65139535,21.65272998,21.62006568,21.57566171,21.50147637,21.33124669,21.11366428,20.75510602,20.29845286,19.83736804,19.43696322,18.99939715,18.55443761,18.17011634,17.84158014,17.63954961,17.47301592,17.31947583,17.24764518,17.15349629,17.02939694,16.9762876
Ecuador,21.47176391,20.70114834,19.99533963,19.38721463,18.91368747,18.59524627,18.44899962,18.44911263,18.50061251,18.49437983,18.3524759,18.03658636,17.57287453,17.10334059,16.75765183,16.54128074,16.39810656,16.27378315,16.10382911,15.83764616,15.42883554,14.85645797,14.14292959,13.41450992,12.77060394,12.23715378,12.1380107,11.50484004,11.39085417,11.54044964,12.05510357,13.08937766,14.69425512
Egypt,22.96118008,20.85469639,19.12491682,17.90898508,17.11280093,16.57417862,16.16437263,15.78266864,15.35087866,14.93072567,14.63218216,14.49934119,14.40683488,14.21527587,13.91473168,13.57697321,13.2707297,13.05174279,12.95742251,12.97265925,13.05619291,13.14081571,13.08541478,12.75347585,12.27743845,11.87751503,11.6622894,11.56736392,11.51798852,11.49970226,11.53289628,11.60644597,11.66723206
El Salvador,33.66907882,24.90014461,23.31642505,22.63561975,22.69789689,22.98772234,22.97486758,22.5851819,22.86418842,21.36441144,20.82013804,22.06782342,20.40031269,20.74292505,21.44977054,22.1407557,22.36677266,22.07257296,21.44955915,21.12287984,19.61695716,18.50423294,17.75043501,17.97884267,19.31136358,20.78852698,21.10253271,20.0796528,18.31083739,16.40322384,14.83330108,13.83357931,13.3170245
Equatorial Guinea,75.71145126,75.20093086,74.70017234,74.20709956,73.80907151,73.31332392,72.61284342,71.78996914,70.75800279,69.57689435,68.24391453,66.87714556,65.41653125,63.93994962,62.43479901,60.86234776,59.27068921,57.65088454,56.04933556,54.50087334,53.0229013,51.69063583,50.3904513,49.09626405,47.80474931,46.58337039,45.38437945,44.31745844,43.14629528,42.0303387,40.94964868,39.95769103,38.93101459
Eritrea,89.63772836,85.41099241,81.24845924,77.04832362,72.95173426,69.0128218,65.32432945,61.92938645,58.86150326,56.05294217,53.44864115,51.07183414,48.87959908,46.84318041,44.99266985,43.29630613,41.74615027,40.32131549,39.00154215,37.74144425,36.65546423,35.68452275,34.77441305,33.91443507,33.13707761,32.34882451,31.61261011,30.94516067,30.29427449,29.67619217,29.07245896,28.4460298,27.84277469
Estonia,18.00113184,18.92374655,19.69061826,20.08371246,19.89155363,19.09584054,18.0166184,16.92671315,15.98270505,15.25644649,14.74532833,14.35824501,13.99672904,13.61078766,13.18304323,12.68667469,12.10219838,11.40036381,10.62927106,9.85459676,9.122597937,8.4651517,7.913351367,7.431376536,7.000954333,6.598383934,6.21042205,5.827506607,5.453301092,5.101543869,4.792426041,4.533591323,4.35533232
Eswatini,41.14173663,40.36398836,39.65522805,39.06338214,38.62911543,38.33547222,38.17003892,38.09451122,38.09996499,38.18762314,38.34969877,38.50692984,38.72534733,38.94263496,39.11316556,39.30143273,39.47510459,39.57077151,39.72306311,39.90201517,39.9944296,40.1554972,40.21100799,40.12190145,39.85510668,39.38676178,38.84736094,38.27066671,37.680143,36.99705476,36.46384007,35.84250591,35.13169338
Ethiopia,142.3029737,130.6588617,126.7610156,122.2794736,117.6222892,112.5556991,107.4232336,102.2467136,97.11215924,98.60286584,86.99472192,82.2167227,77.54176783,73.07482642,68.7708093,64.54324341,60.30086909,56.06648637,51.95140075,48.06278335,44.43922583,41.01460254,37.94501553,35.12397985,32.57396825,30.34625937,28.54837931,27.25617646,26.34883443,25.7610769,25.31588593,24.94677703,24.68177363
Fiji,30.61879593,29.34037122,28.17677074,27.14539731,26.24928348,25.42191936,24.64002598,23.88496261,23.18430048,22.52092664,21.89146725,21.29433164,20.7167192,20.14819104,19.56275535,18.94725156,18.29076685,17.62298084,16.99768314,16.4360838,15.95788208,15.58439765,15.29131117,15.06206345,14.88916919,14.78387792,15.34675764,14.79398828,14.87770828,14.97968508,15.06169055,15.07424156,15.00801846
Finland,9.997618489,9.692958521,9.117909207,8.510523208,8.038435436,7.729873463,7.555113424,7.480514767,7.473183894,7.496932553,7.511413339,7.459292551,7.323869952,7.163971998,7.038941099,6.953803977,6.892192077,6.822231113,6.71041411,6.513497487,6.227686623,5.874270004,5.488126749,5.159548432,4.947734265,4.865679955,4.922826743,5.103277582,5.311350187,5.44836265,5.478113058,5.407741605,5.272486416
France,9.62304566,9.391253273,9.122343687,8.81738039,8.504880558,8.222014955,7.9859283,7.788277478,7.614407113,7.433232329,7.202687252,6.908654259,6.573536353,6.221201192,5.881578969,5.583366965,5.33746412,5.136400073,4.969292191,4.814851562,4.648960327,4.463146941,4.279661768,4.118096343,3.987481408,3.891752181,3.828570645,3.783803703,3.740643734,3.696872577,3.654224067,3.613442949,3.569937897
Gabon,41.93606741,42.16691663,42.46980966,42.68773424,42.89481318,42.99781136,42.91639079,42.728391,42.40934513,42.0892904,41.73256362,41.34359812,40.76422134,40.14259985,39.4281093,38.68110485,37.76737592,36.7540008,35.62345647,34.4186006,33.20447826,32.01920129,30.89287667,29.7897361,28.76538076,27.91846018,27.27035533,26.79290441,26.39729485,25.99377405,25.67467622,25.43131662,25.10043837
Gambia,71.83786148,69.98490148,68.09835107,66.22336747,64.37916371,62.54237918,60.73146383,58.91021246,57.14036325,55.4174349,53.72782083,52.08584409,50.46147621,48.84908471,47.28484948,45.75259057,44.26892338,42.83806282,41.47459673,40.14544432,38.88322347,37.680279,36.52583483,35.41779421,34.35519302,33.32886256,32.33699451,31.39036629,30.50092828,29.6573853,28.8762222,28.12678184,27.42231485
